position	filename	char_count	paragraph_count
43	840_Lorna_Doone_A_Romance_of_Exmoor.txt	1418111	3277
44	18483_Fighting_France.txt	242867	699
45	20471_Grace_Harlowes_Golden_Summer.txt	292666	878
46	51845_Wolfbane.txt	191551	898
47	29750_Zen.txt	16066	73
48	2857_A_Yellow_God_An_Idol_of_Africa.txt	491357	1473
49	45051_William_Claytons_Journal.txt	618881	513
50	564_The_Mystery_of_Edwin_Drood.txt	518457	1959
51	3093_The_Eve_of_the_Revolution_A_Chronicle_of_the_Breac.txt	340578	302
52	604_Gulliver_of_Mars.txt	381791	819
53	30131_Nye_and_Rileys_Wit_and_Humor_Poems_and_Yarns.txt	223989	678
54	36866_South_Africa_and_the_Transvaal_War_Vol_3_of_8.txt	565179	816
55	11860_Black_Beauty_Young_Folks_Edition.txt	77716	189
56	51589_The_Rag_and_Bone_Men.txt	15673	59
57	35949_The_Girl_in_Her_Teens.txt	149100	294
58	1751_Twilight_Land.txt	367666	1445
59	51545_The_Sweeper_of_Loray.txt	23747	152
60	34617_The_Jews_of_Barnow_Stories.txt	408155	1086
61	12187_The_Mystery_of_31_New_Inn.txt	430815	1517
62	29135_With_the_Night_Mail_A_Story_of_2000_AD.txt	74494	294
63	2070_To_the_Last_Man.txt	511800	1648
64	30398_The_Other_Likeness.txt	36446	110
65	29455_Invasion.txt	48403	156
66	954_Tom_Swift_and_His_War_Tank_Or_Doing_His_Bit_for_Un.txt	228803	1242
67	20341_Grace_Harlowes_Overland_Riders_in_the_Great_North_.txt	261525	1409
68	31778_The_Draw.txt	35066	199
69	11337_Cowmen_and_Rustlers_A_Story_of_the_Wyoming_Cattle_.txt	283171	1445
70	17089_The_Tale_of_Mrs_Tittlemouse.txt	7130	69
71	30760_My_Private_Menagerie.txt	73184	97
72	3099_The_Old_Merchant_Marine_A_Chronicle_of_American_Sh.txt	239071	335
73	7086_Life_of_Her_Most_Gracious_Majesty_the_Queen__Volum.txt	578425	1061
74	18668_In_Search_of_the_Unknown.txt	382614	1961
75	7509_The_Logbooks_of_the_Lady_Nelson.txt	465653	1018
76	23388_Wrecked_but_not_Ruined.txt	146636	507
77	32650_Some_Personal_Reminiscences_of_Service_in_the_Cava.txt	91582	130
78	39334_Blazing_the_Way_Or_True_Stories_Songs_and_Sketches.txt	633518	1866
79	20818_On_the_Genesis_of_Species.txt	535114	982
80	20081_A_Houseful_of_Girls.txt	511529	1002
81	7471_The_Man_with_Two_Left_Feet_and_Other_Stories.txt	358841	1461
82	38146_Mr_Punch_on_the_Warpath_Humours_of_the_Army_the_Na.txt	84796	496
83	21661_Impressions_of_a_War_Correspondent.txt	243085	335
84	21275_The_Goat_and_Her_Kid.txt	28804	73
85	6121_Jack_Winters_Gridiron_Chums.txt	214247	639
86	6753_Psmith_in_the_City.txt	281346	1001
87	10485_Experiments_in_Government_and_the_Essentials_of_th.txt	76954	101
88	24590_The_Tale_of_Ferdinand_Frog.txt	70733	453
89	23773_The_Coming_Wave_Or_The_Hidden_Treasure_of_High_Roc.txt	343050	1324
90	24873_Lucy_Maud_Montgomery_Short_Stories_1896_to_1901.txt	335755	1337
91	5584_In_the_Blue_Pike__Volume_01.txt	65966	165
92	50969_Big_Ancestor.txt	51893	252
93	37206_Sea_and_Sardinia.txt	418397	932
94	24826_Hildegardes_Holiday_A_Story_for_Girls.txt	292598	948
95	9959_The_Armourers_Prentices.txt	626317	1627
96	23875_The_Relief_of_Mafeking.txt	334333	469
97	26989_B_C_30000.txt	43950	191
98	28030_Reluctant_Genius.txt	5121	31
99	11984_A_Pluralistic_Universe.txt	435500	532
100	33756_Village_Life_in_America_1852-1872_Including_the_Pe.txt	304688	593
101	47775_Kitty_Carter_Canteen_Girl.txt	248671	1578
102	1686_The_Secret_of_the_Night.txt	527369	1736
103	32040_Diplomatic_Immunity.txt	34661	243
104	8067_The_Boy_Scouts_on_Sturgeon_Island_or_Marooned_Amon.txt	297894	1244
105	51363_Double_Standard.txt	12604	73
106	54_The_Marvelous_Land_of_Oz.txt	223422	1234
107	30114_The_Journal_of_Submarine_Commander_von_Forstner.txt	137682	239
108	2610_Notre-Dame_de_Paris.txt	1020835	3212
109	20666_The_Debs_Decision.txt	77825	159
110	16135_Safe_Marriage_A_Return_to_Sanity.txt	97025	190
111	32317_The_World_with_a_Thousand_Moons.txt	94231	573
112	24622_The_Pianolist_A_Guide_for_Pianola_Players.txt	139098	185
113	31996_Is_There_a_Santa_Claus.txt	11004	23
114	21823_The_Butterflys_Ball_and_the_Grasshoppers_Feast.txt	27379	102
115	22623_Divinity.txt	35997	115
116	17151_Bob_Chesters_Grit_Or_From_Ranch_to_Riches.txt	230735	1320
117	18497_My_Second_Year_of_the_War.txt	507894	925
118	1353_Off_on_a_Comet_a_Journey_through_Planetary_Space.txt	575780	1909
119	21717_Battles_with_the_Sea.txt	132813	274
120	2747_Nisida.txt	86380	207
121	26884_The_Backwash_of_War.txt	134730	191
122	51699_The_God_Next_Door.txt	29543	147
123	23469_A_History_of_the_Four_Georges_Volume_I.txt	754380	413
124	32934_The_Young_Colonists_A_Story_of_the_Zulu_and_Boer_W.txt	416278	1021
125	7464_The_Adventures_of_Sally.txt	405645	1535
126	5207_The_Guns_of_Shiloh_A_Story_of_the_Great_Western_Ca.txt	475941	1553
127	4633_Philip_Steele_of_the_Royal_Northwest_Mounted_Polic.txt	267245	805
128	6308_Hypatia__or_New_Foes_with_an_Old_Face.txt	911810	2746
129	34901_On_Liberty.txt	305126	153
130	25548_Rollos_Museum.txt	162251	707
131	15141_Beethoven_a_character_study.txt	409013	535
132	36643_A_Tour_throughout_South_Wales_and_Monmouthshire.txt	414013	570
133	10338_With_the_Turks_in_Palestine.txt	102506	167
134	10809_Why_We_Are_at_War_2nd_Edition_revised.txt	427301	1075
135	12570_Starr_of_the_Desert.txt	381366	950
136	8492_The_King_in_Yellow.txt	378248	1406
137	49525_First_Lensman.txt	560930	2026
138	19033_Alices_Adventures_in_Wonderland.txt	50020	229
139	21914_The_Woggle-Bug_Book.txt	58714	246
140	4552_The_Border_Legion.txt	503173	1861
141	20753_The_Wonder_Island_Boys__The_Tribesmen.txt	312117	1273
142	10142_Maezli_A_Story_of_the_Swiss_Valleys.txt	343568	1201
143	5456_An_Egyptian_Princess__Volume_07.txt	93290	319
144	16675_Tommy_Atkins_at_War_As_Told_in_His_Own_Letters.txt	156716	279
145	50835_The_Luckiest_Man_in_Denv.txt	24933	134
146	24246_Greener_Than_You_Think.txt	697728	1960
147	5561_Barbara_Blomberg__Volume_01.txt	98990	274
148	31364_B-12s_Moon_Glow.txt	27462	134
149	22544_A_World_is_Born.txt	62790	358
150	547_Baron_Trigaults_Vengeance.txt	656106	1538
151	23232_The_Servant_Problem.txt	59447	181
152	33625_My_First_Campaign.txt	166883	226
153	22338_The_Impossibles.txt	266089	1610
154	1497_The_Republic.txt	1150036	2884
155	51193_Pictures_Dont_Lie.txt	37564	159
156	30045_Planet_of_Dreams.txt	14910	80
157	3802_The_Lerouge_Case.txt	674755	2559
158	10771_Philippine_Folklore_Stories.txt	61847	220
159	28047_Strange_Alliance.txt	18484	94
160	25488_The_Grocery_Man_And_Pecks_Bad_Boy.txt	233211	296
161	7244_A_Connecticut_Yankee_in_King_Arthurs_Court_Part_3.txt	61109	117
162	15577_A_History_of_the_McGuffey_Readers.txt	102144	172
163	51171_A_Little_Journey.txt	13385	70
164	1872_The_Red_House_Mystery.txt	304522	1463
165	50668_The_Secret_Martians.txt	243672	1220
166	29458_Cost_of_Living.txt	17251	117
167	12908_Missing.txt	503525	1704
168	1145_Rupert_of_Hentzau_From_The_Memoirs_of_Fritz_Von_Ta.txt	430509	1627
169	27089_The_Risk_Profession.txt	57423	235
170	37814_The_Story_of_Magellan_and_The_Discovery_of_the_Phi.txt	282895	1207
171	47132_South_Africa_and_the_Transvaal_War_Vol_7_of_8.txt	647157	1200
172	29326_The_Great_Drought.txt	45193	216
173	51170_The_Fire_and_the_Sword.txt	57374	291
174	25438_The_Airlords_of_Han.txt	172906	480
175	5479_Cleopatra__Volume_07.txt	118605	250
176	16664_Town_Life_in_Australia.txt	412567	361
177	32359_Sinister_Paradise.txt	81723	451
178	21464_The_Gilpins_and_their_Fortunes_A_Story_of_Early_Da.txt	176005	332
179	14488_Elsies_Kith_and_Kin.txt	388311	2182
180	2753_Ali_Pacha.txt	251717	344
181	20014_Canada_and_the_Canadians_Vol_1.txt	308329	707
182	24259_Oh_Well_You_Know_How_Women_Are.txt	64585	138
183	2614_The_History_of_England_from_the_Accession_of_James.txt	572707	355
184	51185_All_Jacksons_Children.txt	27528	204
185	16331_New_York_Times_Current_History_The_European_War_fr.txt	775248	1722
186	48747_Who_Ate_the_Pink_Sweetmeat_And_Other_Christmas_Sto.txt	108121	430
187	35362_Billy_Barcroft_RNAS_A_Story_of_the_Great_War.txt	470269	1908
188	24570_High_Adventure_A_Narrative_of_Air_Fighting_in_Fran.txt	255365	504
189	33769_The_Harwich_Naval_Forces_Their_Part_in_the_Great_W.txt	152447	209
190	3837_Hospital_Sketches.txt	166717	278
191	10147_Americas_War_for_Humanity.txt	1163628	3040
192	22239_Security.txt	68519	248
193	8938_Zenobia_or_the_Fall_of_Palmyra.txt	871827	1535
194	1261_Betty_Zane.txt	539530	1796
195	51129_A_Gift_from_Earth.txt	30060	143
196	16495_Your_Boys.txt	49574	224
197	25355_Rollo_in_Geneva.txt	227494	792
198	15323_The_Green_Eyes_of_Bâst.txt	404248	1626
199	23103_Traders_Risk.txt	28220	155
200	27248_The_Raid_on_the_Termites.txt	146443	587
201	3177_Roughing_It.txt	921045	1597
202	28020_History_of_Woman_Suffrage_Volume_I.txt	2714479	4286
203	4436_Vittoria__Volume_2.txt	125677	314
204	10921_The_Worlds_Greatest_Books__Volume_04__Fiction.txt	548069	1744
205	28019_Birds_in_the_Bush.txt	378640	499
206	28516_The_Saracen_The_Holy_War.txt	791712	3981
207	11702_Washington_and_his_colleagues_a_chronicle_of_the_r.txt	275980	244
208	24461_Third_class_in_Indian_railways.txt	52535	52
209	51712_A_Trace_of_Memory.txt	351617	1661
210	51121_Spoken_For.txt	13860	75
211	5343_Rainbow_Valley.txt	431401	1411
212	28711_Operas_Every_Child_Should_Know.txt	649415	2786
213	4763_The_Game_of_Logic.txt	72036	415
214	16337_From_Capetown_to_Ladysmith_An_Unfinished_Record_of.txt	163431	380
215	10443_The_Rayner-Slade_Amalgamation.txt	438352	1470
216	5662_The_Potato_Child__Others.txt	35133	163
217	15694_A_Friend_of_Cæsar_A_Tale_of_the_Fall_of_the_Roman_.txt	837715	2232
218	412_John_Jacob_Astor.txt	35775	143
219	5440_Uarda__a_Romance_of_Ancient_Egypt__Volume_02.txt	124538	470
220	707_Raffles_Further_Adventures_of_the_Amateur_Cracksma.txt	280767	891
221	42923_The_Doctors_Christmas_Eve.txt	349726	1015
222	11904_Ailsa_Paige_A_Novel.txt	632247	2975
223	31770_The_Struggle_for_Missouri.txt	552617	1234
224	23155_Western_Characters_or_Types_of_Border_Life_in_the_.txt	467862	742
225	22074_The_Doings_of_the_Fifteenth_Infantry_Brigade_Augus.txt	328815	663
226	11641_Over_There_War_Scenes_on_the_Western_Front.txt	162161	260
227	23336_The_Tiny_Story_Book.txt	7060	35
228	32676_The_Test_Colony.txt	71846	320
229	31324_The_Angel_of_the_Revolution_A_Tale_of_the_Coming_T.txt	799714	2262
230	32447_The_Thing_in_the_Attic.txt	70096	261
231	33198_The_Borghesi_Astronomical_Clock_in_the_Museum_of_H.txt	149747	343
232	6950_The_Bobbsey_Twins_at_the_Seashore.txt	185280	1096
233	20898_The_Galaxy_Primes.txt	368105	1819
234	19117_Sergeant_York_And_His_People.txt	218530	662
235	3041_The_Cleveland_Era_A_Chronicle_of_the_New_Order_in_.txt	273262	245
236	29193_Dream_Town.txt	20016	146
237	25629_Postmark_Ganymede.txt	14696	97
238	42227_A_Witch_Shall_Be_Born.txt	91910	298
239	31501_The_Sensitive_Man.txt	115446	547
240	418_A_Treatise_on_Good_Works.txt	218316	261
241	28951_Frontier_service_during_the_rebellion.txt	55584	45
242	29618_The_Aggravation_of_Elmer.txt	13176	79
243	23534_Or_Your_Money_Back.txt	40345	256
244	17937_The_Thin_Santa_Claus_The_Chicken_Yard_That_Was_a_C.txt	24547	112
245	21102_Tom_and_Some_Other_Girls_A_Public_School_Story.txt	371770	885
246	26191_Citadel.txt	48729	249
247	21705_In_the_Track_of_the_Troops.txt	481267	1529
248	30832_Nor_Iron_Bars_a_Cage.txt	86869	411
249	21703_Silver_Lake.txt	200131	708
250	13372_The_Gloved_Hand.txt	359744	1821
251	37547_The_Fairies_and_the_Christmas_Child.txt	195646	561
252	5528_The_Bride_of_the_Nile__Volume_12.txt	120096	302
253	20402_Beside_the_Still_Waters.txt	18866	8
254	3810_The_Man-Eaters_of_Tsavo_and_Other_East_African_Adv.txt	363635	432
255	6624_Ancient_China_Simplified.txt	638815	502
256	19027_The_Revolt_on_Venus.txt	291008	1419
257	21653_The_Eurhythmics_of_Jaques-Dalcroze.txt	80834	163
258	7061_A_March_on_London_Being_a_Story_of_Wat_Tylers_Insu.txt	603439	1575
259	44114_A_Jay_of_Italy.txt	476247	1926
260	4245_A_History_of_the_Early_Part_of_the_Reign_of_James_.txt	379354	284
261	17998_Before_the_War.txt	279640	435
262	20289_Herein_is_Love.txt	238185	354
263	28145_Attack_An_Infantry_Subalterns_Impression_of_July_1.txt	76226	181
264	13897_The_Adventure_Club_Afloat.txt	325342	1120
265	25862_The_Chamber_of_Life.txt	59639	222
266	41753_Dave_Dawson_at_Truk.txt	256540	917
267	25508_The_Strand_District.txt	151491	267
268	5263_The_Girl_Scout_Pioneers_Or_Winning_the_First_B_C.txt	243208	1077
269	50753_Later_Than_You_Think.txt	14731	42
270	12810_Uncle_Sams_Boys_with_Pershings_Troops.txt	260001	1507
271	13450_The_Motor_Maids_in_Fair_Japan.txt	292062	1367
272	45135_The_Thick_of_the_Fray_at_Zeebrugge_April_1918.txt	233987	849
273	4550_Fighting_France_from_Dunkerque_to_Belfort.txt	200877	225
274	14456_The_Uphill_Climb.txt	289745	894
275	38556_Historic_WaterwaysSix_Hundred_Miles_of_Canoeing_Do.txt	319384	407
276	23987_The_Torch_Bearer_A_Camp_Fire_Girls_Story.txt	361430	1758
277	17865_The_Meadow-Brook_Girls_in_the_Hills_Or_The_Missing.txt	281265	1305
278	3336_Within_an_Inch_of_His_Life.txt	838812	4114
279	25801_The_Girl_Scouts_in_Beechwood_Forest.txt	242440	1159
280	30240_The_Big_Trip_Up_Yonder.txt	20490	94
281	20509_Daring_and_Suffering_A_History_of_the_Great_Railro.txt	332367	663
282	18632_Crossroads_of_Destiny.txt	25299	90
283	32048_Cottage_Building_in_Cob_Pisé_Chalk_and_Clay_A_Rena.txt	219878	680
284	832_Robin_Hood.txt	329207	1519
285	10319_Dave_Darrins_Third_Year_at_Annapolis_Or_Leaders_of.txt	253181	1621
286	10629_Britain_at_Bay.txt	238282	374
287	25024_The_Night_of_the_Long_Knives.txt	174366	592
288	78_Tarzan_of_the_Apes.txt	466425	2406
289	51768_Prospectors_Special.txt	44193	268
290	385_The_Redheaded_Outfield_and_Other_Baseball_Stories.txt	287878	1025
291	29309_The_Death-Traps_of_FX-31.txt	50805	257
292	2808_Treatises_on_Friendship_and_Old_Age.txt	163572	158
293	22892_The_Best_Made_Plans.txt	223929	1332
294	30552_Birds_Illustrated.txt	54818	151
295	15767_The_Texan_Scouts_A_Story_of_the_Alamo_and_Goliad.txt	574056	2138
296	21266_Bird_Day_How_to_prepare_for_it.txt	114172	271
297	15760_The_Forest_of_Swords_A_Story_of_Paris_and_the_Marn.txt	439888	1756
298	10320_Dotty_Dimple_at_Play.txt	122162	707
299	14304_The_Tale_of_Peter_Rabbit.txt	4444	40
300	4074_Swallow_A_Tale_of_the_Great_Trek.txt	549980	1583
301	25644_The_Man_Who_Hated_Mars.txt	27304	188
302	49401_Eventful_Narratives.txt	171271	579
303	31511_A_History_of_Witchcraft_in_England_from_1558_to_17.txt	774824	1721
304	28705_The_God_in_the_Box.txt	46368	197
305	24832_Labrador_Days.txt	230502	521
306	21913_The_Talking_Leaves_An_Indian_Story.txt	353838	2011
307	26206_Pandemic.txt	36265	147
308	32054_Stamped_Caution.txt	64288	231
309	28518_Mex.txt	4179	18
310	30242_Prologue_to_an_Analogue.txt	57993	304
311	544_Annes_House_of_Dreams.txt	424925	1435
312	21988_Breaking_Point.txt	105618	479
313	22559_The_Day_of_the_Boomer_Dukes.txt	43505	135
314	20716_The_Tale_of_Timothy_Turtle.txt	71918	452
315	18547_Madame_Flirt.txt	411523	1830
316	20631_Chosen_Peoples.txt	89371	142
317	32903_The_Victor.txt	34114	133
318	28643_Belly_Laugh.txt	5573	24
319	52009_New_Lamps.txt	58534	259
320	32076_Brown_Johns_Body.txt	23181	127
321	4731_Seven_Little_Australians.txt	239236	1156
322	4356_Sky_Island.txt	292571	1223
323	1429_The_Garden_Party_and_Other_Stories.txt	307395	1247
324	18794_Three_Years_War.txt	882813	2751
325	14874_Elsies_Womanhood.txt	467482	2395
326	25811_The_Automobile_Girls_in_the_Berkshires_Or_The_Ghos.txt	308222	1451
327	1661_The_Adventures_of_Sherlock_Holmes.txt	535681	1774
328	56889_The_Blue_Star.txt	469666	1491
329	5465_The_Sisters__Volume_5.txt	100309	293
330	10688_The_Camp_Fire_Girls_at_Camp_Keewaydin_Or_Paddles_D.txt	300211	1030
331	38276_The_Cruise_of_the_Snowbird_A_Story_of_Arctic_Adven.txt	465028	1670
332	7506_The_Huge_Hunter_Or_The_Steam_Man_of_the_Prairies.txt	157478	787
333	34907_The_Irish_on_the_Somme.txt	355688	420
334	21614_For_the_Temple_A_Tale_of_the_Fall_of_Jerusalem.txt	658879	1746
335	2874_Personal_Recollections_of_Joan_of_Arc__Volume_1.txt	415106	1166
336	10000_The_Magna_Carta.txt	79533	210
337	51273_Advance_Agent.txt	59279	288
338	50022_The_Wailing_Asteroid.txt	320261	1051
339	23624_Ride_Proud_Rebel.txt	368394	1543
340	42236_Jewels_of_Gwahlur.txt	96452	253
341	6119_An_Outback_Marriage_A_Story_of_Australian_Life.txt	358845	1133
342	39358_A_Winter_Nosegay_Being_Tales_for_Children_at_Chris.txt	41312	145
343	15194_Out_To_Win_The_Story_of_America_in_France.txt	244990	288
344	6870_Why_We_Are_at_War__Messages_to_the_Congress_Januar.txt	74180	189
345	5462_The_Sisters__Volume_2.txt	104543	234
346	50217_Dave_Dawson_with_the_Pacific_Fleet.txt	259414	871
347	18584_The_Edge_of_the_Knife.txt	90903	338
348	32023_The_Boys_Voice.txt	176225	430
349	2787_An_Old-Fashioned_Girl.txt	536529	1995
350	5444_Uarda__a_Romance_of_Ancient_Egypt__Volume_06.txt	115605	411
351	17249_Added_Upon.txt	307078	1133
352	7446_The_Naturalist_in_La_Plata.txt	584712	464
353	19246_The_Young_Pitcher.txt	289396	1054
354	765_The_Moon_Pool.txt	541106	2121
355	20106_How_Ethel_Hollister_Became_a_Campfire_Girl.txt	184434	669
356	30679_The_Trouble_with_Telstar.txt	69985	320
357	50713_One_Against_the_Moon.txt	276318	937
358	271_Black_Beauty.txt	297805	850
359	7439_English_Fairy_Tales.txt	310246	999
360	5660_Mary_Louise.txt	246493	1004
361	29579_Watchbird.txt	38761	274
362	6418_Five_Little_Peppers_and_their_Friends.txt	457990	2717
363	27465_Birds_in_the_Calendar.txt	114322	100
364	26034_Grey_Town.txt	322768	1734
365	1329_A_Voyage_to_Arcturus.txt	497376	2391
366	3268_The_Mysteries_of_Udolpho.txt	1666138	3190
367	1298_The_Virginian_A_Horseman_of_the_Plains.txt	682144	2516
368	29353_Vampires_of_Space.txt	43203	196
369	9833_Pee-wee_Harris.txt	174386	702
370	5157_How_I_Found_Livingstone.txt	904633	1552
371	5701_The_Tale_of_Fatty_Coon.txt	65922	294
372	20788_Storm_Over_Warlock.txt	341949	1104
373	39150_A_Hero_of_Liége_A_Story_of_the_Great_War.txt	245467	1133
374	24204_The_Lost_Despatch.txt	306680	1575
375	770_The_Story_of_the_Treasure_Seekers.txt	266973	1097
376	13244_Punch_or_the_London_Charivari.txt	99299	374
377	6702_Life_of_Harriet_Beecher_Stowe.txt	839750	1936
378	19705_Border_and_Bastille.txt	386956	514
379	22433_Breaking_Away_or_The_Fortunes_of_a_Student.txt	305558	1411
380	30474_They_Also_Serve.txt	10383	55
381	17496_Elsie_at_Home.txt	305148	1411
382	21873_Planet_of_the_Damned.txt	306144	1048
383	34348_The_Drama_of_Glass.txt	24399	61
384	7823_The_Attaché_or_Sam_Slick_in_England__Complete.txt	478938	1112
385	18274_A_Book_of_Natural_History.txt	581606	818
386	16859_Womans_Endurance.txt	136075	745
387	14635_Ruth_Fielding_in_Moving_Pictures_Or_Helping_the_Do.txt	231235	1299
388	24870_The_Stars_My_Brothers.txt	78745	399
389	21118_Etheldreda_the_Ready_A_School_Story.txt	343226	914
390	10627_Beacon_Lights_of_History_Volume_08_Great_Rulers.txt	498775	425
391	17054_The_Submarine_Boys_on_Duty.txt	280870	1555
392	6488_Going_Some.txt	232775	1451
393	13139_Lives_of_John_Donne_Henry_Wotton_Richd_Hooker_Geor.txt	467858	618
394	19247_Dotty_Dimples_Flyaway.txt	128287	798
395	15636_The_Future_of_Astronomy.txt	32781	30
396	20453_The_Christmas_Child.txt	51480	143
397	18767_Stories_about_Animals_with_Pictures_to_Match.txt	304154	335
398	50935_Star_Bright.txt	44294	258
399	41934_Idling_in_Italy_Studies_of_literature_and_of_life.txt	513434	624
400	10556_The_Old_Man_in_the_Corner.txt	391323	1204
401	31179_Fultons_Steam_Battery_Blockship_and_Catamaran.txt	90874	192
402	19726_The_Door_Through_Space.txt	228812	940
403	7826_LPM__The_End_of_the_Great_War.txt	470189	1592
404	20158_The_Works_of_Lord_Byron_Vol_4.txt	943588	2757
405	14154_The_Tale_of_Terror_A_Study_of_the_Gothic_Romance.txt	412663	576
406	18109_Graveyard_of_Dreams.txt	44728	179
407	18821_Personal_Recollections_of_Birmingham_and_Birmingha.txt	405438	590
408	16992_On_the_Kings_Service_Inward_Glimpses_of_Men_at_Arm.txt	89782	101
409	26548_The_Tale_of_a_Trooper.txt	290905	469
410	10378_Autobiography.txt	436243	194
411	2785_The_Elusive_Pimpernel.txt	468872	1731
412	7748_The_Parisians__Volume_12.txt	178132	386
413	32209_Assignments_End.txt	41386	223
414	32015_A_Historic_Sketch_Lest_We_Forget_Company_E_26th_Oh.txt	69410	45
415	11357_Jimgrim_and_Allahs_Peace.txt	420911	1431
416	23748_History_of_the_United_States_Volume_3.txt	273602	405
417	15319_The_Government_Class_Book.txt	622499	1874
418	1155_The_Secret_Adversary.txt	387386	2169
419	21748_Black_Ivory.txt	512025	1632
420	17094_The_Story_of_the_Red_Cross_as_told_to_The_Little_C.txt	59856	175
421	836_The_Phoenix_and_the_Carpet.txt	325088	1674
422	34031_Raemaekers_Cartoon_History_of_the_War_Volume_1.txt	79556	289
423	51774_The_Weirdest_World.txt	28935	152
424	7635_The_Disowned__Volume_05.txt	125488	274
425	37904_The_International_Monthly_Volume_4_No_4_November_1.txt	766941	1659
426	17827_The_Story_of_Mattie_J_Jackson.txt	66406	66
427	25012_The_Case_of_Wagner_Nietzsche_Contra_Wagner_and_Sel.txt	180347	269
428	37363_Making_Up_with_Mr_Dog.txt	67417	241
429	25490_Pecks_Uncle_Ike_and_The_Red_Headed_Boy.txt	258018	364
430	22467_Sand_Doom.txt	92585	301
431	15387_Jorrocks_Jaunts_and_Jollities.txt	511192	523
432	24419_Germany_Bohemia_and_Hungary_Visited_in_1837_Vol_II.txt	463037	438
433	25477_The_Curlytops_on_Star_Island_Or_Camping_out_with_G.txt	227513	1498
434	17567_The_Way_of_the_Wild.txt	502950	1210
435	18505_A_Popular_Schoolgirl.txt	372391	1130
436	29060_The_Einstein_See-Saw.txt	51178	174
437	18868_With_Kitchener_in_the_Soudan_A_Story_of_Atbara_and.txt	758712	2323
438	33642_Earth_Alert.txt	169674	1197
439	23995_The_Land_of_the_Kangaroo.txt	496900	1120
440	13215_Edwy_the_Fair_or_the_First_Chronicle_of_Aescendune.txt	423994	1661
441	30427_The_Lost_Kafoozalum.txt	115466	598
442	135_Les_Misérables.txt	3067199	9537
443	2057_The_Last_of_the_Plainsmen.txt	382104	1083
444	17918_One_Young_Man.txt	125995	280
445	24881_The_Tale_of_Grumpy_Weasel.txt	76456	430
446	6880_The_Coming_of_Bill.txt	434650	1975
447	9075_Rico_and_Wiseli.txt	334816	1142
448	23560_Carl_and_the_Cotton_Gin.txt	351063	1376
449	29990_Satellite_System.txt	26658	143
450	8771_Jurgen_A_Comedy_of_Justice.txt	518340	1868
451	21630_Bibliomania_in_the_Middle_Ages.txt	504421	715
452	586_Religio_Medici_Hydriotaphia_and_the_Letter_to_a_Fr.txt	336292	433
453	17329_History_of_Egypt_Chaldæa_Syria_Babylonia_and_Assyr.txt	593609	754
454	25918_Heads_and_Tales__or_Anecdotes_and_Stories_of_Quadr.txt	490549	1066
455	2641_A_Room_with_a_View.txt	353238	1554
